STREET,CITY,ZIP-CODE,BEDROOMS,BATHS,AREA(SQ-FT),PRICE,PRICE/SQ-FT,PROPERTY AGE,LOCALITY RATING,TYPE,SALE-DAY,SALE DATE,LATTITUDE,LONGITUDE
3526 HIGH ST,SACRAMENTO,95838,2,1,836,59222,70.84,17,8,Residential,Wednesday,21-May,38.631913,-121.434879
51 OMAHA CT,SACRAMENTO,95823,3,1,1167,68212,58.45,10,8,Residential,Wednesday,21-May,38.478902,-121.431028
2796 BRANCH ST,SACRAMENTO,95815,2,1,796,68880,86.53,9,7,Residential,Wednesday,21-May,38.618305,-121.443839
2805 JANETTE WAY,SACRAMENTO,95815,2,1,852,69307,81.35,25,3,Residential,Wednesday,21-May,38.616835,-121.439146
6001 MCMAHON DR,SACRAMENTO,95824,2,1,797,81900,102.76,15,5,Residential,Wednesday,21-May,38.51947,-121.435768
5828 PEPPERMILL CT,SACRAMENTO,95841,3,1,1122,89921,80.14,15,2,Condo,Wednesday,21-May,38.662595,-121.327813
6048 OGDEN NASH WAY,SACRAMENTO,95842,3,2,1104,90895,82.33,18,6,Residential,Wednesday,21-May,38.681659,-121.351705
2561 19TH AVE,SACRAMENTO,95820,3,1,1177,91002,77.32,22,4,Residential,Wednesday,21-May,38.535092,-121.481367
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,2,2,941,94905,100.86,12,3,Condo,Wednesday,21-May,38.621188,-121.270555
7325 10TH ST,RIO LINDA,95673,3,2,1146,98937,86.33,19,8,Residential,Wednesday,21-May,38.700909,-121.442979
645 MORRISON AVE,SACRAMENTO,95838,3,2,909,100309,110.35,21,4,Residential,Wednesday,21-May,38.637663,-121.45152
4085 FAWN CIR,SACRAMENTO,95823,3,2,1289,106250,82.43,17,4,Residential,Wednesday,21-May,38.470746,-121.458918
2930 LA ROSA RD,SACRAMENTO,95815,1,1,871,106852,122.68,20,7,Residential,Wednesday,21-May,38.618698,-121.435833
2113 KIRK WAY,SACRAMENTO,95822,3,1,1020,107502,105.39,14,3,Residential,Wednesday,21-May,38.482215,-121.492603
4533 LOCH HAVEN WAY,SACRAMENTO,95842,2,2,1022,108750,106.41,25,4,Residential,Wednesday,21-May,38.672914,-121.35934
7340 HAMDEN PL,SACRAMENTO,95842,2,2,1134,110700,97.62,8,8,Condo,Wednesday,21-May,38.700051,-121.351278
6715 6TH ST,RIO LINDA,95673,2,1,844,113263,134.2,8,5,Residential,Wednesday,21-May,38.689591,-121.452239
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,2,1,795,116250,146.23,10,2,Condo,Wednesday,21-May,38.679776,-121.314089
250 PERALTA AVE,SACRAMENTO,95833,2,1,588,120000,204.08,22,8,Residential,Wednesday,21-May,38.612099,-121.469095
113 LEEWILL AVE,RIO LINDA,95673,3,2,1356,121630,89.7,10,2,Residential,Wednesday,21-May,38.689999,-121.46322
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,3,2,1118,122000,109.12,15,7,Residential,Wednesday,21-May,38.707851,-121.320707
4882 BANDALIN WAY,SACRAMENTO,95823,4,2,1329,122682,92.31,11,5,Residential,Wednesday,21-May,38.468173,-121.444071
7511 OAKVALE CT,NORTH HIGHLANDS,95660,4,2,1240,123000,99.19,7,2,Residential,Wednesday,21-May,38.702792,-121.38221
9 PASTURE CT,SACRAMENTO,95834,3,2,1601,124100,77.51,12,4,Residential,Wednesday,21-May,38.628631,-121.488097
3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,3,2,901,125000,138.73,8,2,Residential,Wednesday,21-May,38.701499,-121.37622
3828 BLACKFOOT WAY,ANTELOPE,95843,3,2,1088,126640,116.4,23,3,Residential,Wednesday,21-May,38.70974,-121.37377
4108 NORTON WAY,SACRAMENTO,95820,3,1,963,127281,132.17,14,9,Residential,Wednesday,21-May,38.537526,-121.478315
1469 JANRICK AVE,SACRAMENTO,95832,3,2,1119,129000,115.28,8,7,Residential,Wednesday,21-May,38.476472,-121.501711
9861 CULP WAY,SACRAMENTO,95827,4,2,1380,131200,95.07,13,2,Residential,Wednesday,21-May,38.558423,-121.327948
7825 CREEK VALLEY CIR,SACRAMENTO,95828,3,2,1248,132000,105.77,7,2,Residential,Wednesday,21-May,38.472122,-121.404199
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,2,2,1039,133000,128.01,15,9,Condo,Wednesday,21-May,38.423251,-121.444489
6768 MEDORA DR,NORTH HIGHLANDS,95660,3,2,1152,134555,116.8,14,4,Residential,Wednesday,21-May,38.691161,-121.37192
3100 EXPLORER DR,SACRAMENTO,95827,3,2,1380,136500,98.91,16,2,Residential,Wednesday,21-May,38.566663,-121.332644
7944 DOMINION WAY,ELVERTA,95626,3,2,1116,138750,124.33,11,8,Residential,Wednesday,21-May,38.713182,-121.411227
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,2,2,1039,141000,135.71,16,6,Condo,Wednesday,21-May,38.423251,-121.444489
3920 SHINING STAR DR,SACRAMENTO,95823,3,2,1418,146250,103.14,18,7,Residential,Wednesday,21-May,38.48742,-121.462459
5031 CORVAIR ST,NORTH HIGHLANDS,95660,3,2,1082,147308,136.14,8,3,Residential,Wednesday,21-May,38.658246,-121.375469
7661 NIXOS WAY,SACRAMENTO,95823,4,2,1472,148750,101.05,15,6,Residential,Wednesday,21-May,38.479553,-121.463317
7044 CARTHY WAY,SACRAMENTO,95828,4,2,1146,149593,130.53,6,7,Residential,Wednesday,21-May,38.49857,-121.420925
2442 LARKSPUR LN,SACRAMENTO,95825,1,1,760,150000,197.37,25,6,Condo,Wednesday,21-May,38.58514,-121.403736
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,2,2,1304,152000,116.56,22,3,Condo,Wednesday,21-May,38.658812,-121.542345
2178 63RD AVE,SACRAMENTO,95822,3,2,1207,154000,127.59,18,9,Residential,Wednesday,21-May,38.493955,-121.48966
8718 ELK WAY,ELK GROVE,95624,3,2,1056,156896,148.58,11,6,Residential,Wednesday,21-May,38.41653,-121.379653
5708 RIDGEPOINT DR,ANTELOPE,95843,2,2,1043,161250,154.6,7,2,Residential,Wednesday,21-May,38.72027,-121.331555
7315 KOALA CT,NORTH HIGHLANDS,95660,4,2,1587,161500,101.76,15,5,Residential,Wednesday,21-May,38.699251,-121.371414
2622 ERIN DR,SACRAMENTO,95833,4,1,1120,164000,146.43,23,6,Residential,Wednesday,21-May,38.613765,-121.488694
8421 SUNBLAZE WAY,SACRAMENTO,95823,4,2,1580,165000,104.43,18,4,Residential,Wednesday,21-May,38.450543,-121.432538
7420 ALIX PKWY,SACRAMENTO,95823,4,1,1955,166357,85.09,20,6,Residential,Wednesday,21-May,38.489405,-121.452811
3820 NATOMA WAY,SACRAMENTO,95838,4,2,1656,166357,100.46,8,4,Residential,Wednesday,21-May,38.636748,-121.422159
4431 GREEN TREE DR,SACRAMENTO,95823,3,2,1477,168000,113.74,19,3,Residential,Wednesday,21-May,38.499954,-121.454469
9417 SARA ST,ELK GROVE,95624,3,2,1188,170000,143.1,14,2,Residential,Wednesday,21-May,38.415518,-121.370527
8299 HALBRITE WAY,SACRAMENTO,95828,4,2,1590,173000,108.81,21,7,Residential,Wednesday,21-May,38.473814,-121.4
7223 KALLIE KAY LN,SACRAMENTO,95823,3,2,1463,174250,119.1,8,4,Residential,Wednesday,21-May,38.477553,-121.419463
8156 STEINBECK WAY,SACRAMENTO,95828,4,2,1714,174313,101.7,5,3,Residential,Wednesday,21-May,38.474853,-121.406326
7957 VALLEY GREEN DR,SACRAMENTO,95823,3,2,1185,178480,150.62,20,3,Residential,Wednesday,21-May,38.465184,-121.434925
1122 WILD POPPY CT,GALT,95632,3,2,1406,178760,127.14,12,3,Residential,Wednesday,21-May,38.287789,-121.294715
4520 BOMARK WAY,SACRAMENTO,95842,4,2,1943,179580,92.42,18,7,Multi-Family,Wednesday,21-May,38.665724,-121.358576
9012 KIEFER BLVD,SACRAMENTO,95826,3,2,1172,181000,154.44,15,3,Residential,Wednesday,21-May,38.547011,-121.366217
5332 SANDSTONE ST,CARMICHAEL,95608,3,1,1152,181872,157.88,14,2,Residential,Wednesday,21-May,38.662105,-121.313945
5993 SAWYER CIR,SACRAMENTO,95823,4,3,1851,182587,98.64,8,6,Residential,Wednesday,21-May,38.4473,-121.435218
4844 CLYDEBANK WAY,ANTELOPE,95843,3,2,1215,182716,150.38,17,3,Residential,Wednesday,21-May,38.714609,-121.347887
306 CAMELLIA WAY,GALT,95632,3,2,1130,182750,161.73,21,6,Residential,Wednesday,21-May,38.260443,-121.297864
9021 MADISON AVE,ORANGEVALE,95662,4,2,1603,183200,114.29,23,9,Residential,Wednesday,21-May,38.664186,-121.217511
404 6TH ST,GALT,95632,3,1,1479,188741,127.61,8,2,Residential,Wednesday,21-May,38.251808,-121.302493
8317 SUNNY CREEK WAY,SACRAMENTO,95823,3,2,1420,189000,133.1,5,8,Residential,Wednesday,21-May,38.459041,-121.424644
2617 BASS CT,SACRAMENTO,95826,3,2,1280,192067,150.05,14,2,Residential,Wednesday,21-May,38.560767,-121.377471
7005 TIANT WAY,ELK GROVE,95758,3,2,1586,194000,122.32,18,3,Residential,Wednesday,21-May,38.422811,-121.423285
7895 CABER WAY,ANTELOPE,95843,3,2,1362,194818,143.04,10,8,Residential,Wednesday,21-May,38.711279,-121.393449
7624 BOGEY CT,SACRAMENTO,95828,4,4,2162,195000,90.19,17,7,Multi-Family,Wednesday,21-May,38.48009,-121.415102
6930 HAMPTON COVE WAY,SACRAMENTO,95823,3,2,1266,198000,156.4,12,5,Residential,Wednesday,21-May,38.44004,-121.421012
8708 MESA BROOK WAY,ELK GROVE,95624,4,2,1715,199500,116.33,13,3,Residential,Wednesday,21-May,38.44076,-121.385792
120 GRANT LN,FOLSOM,95630,3,2,1820,200000,109.89,24,9,Residential,Wednesday,21-May,38.687742,-121.17104
5907 ELLERSLEE DR,CARMICHAEL,95608,3,1,936,200000,213.68,11,9,Residential,Wednesday,21-May,38.664468,-121.32683
17 SERASPI CT,SACRAMENTO,95834,2,2,995,206000,207.04,20,8,Residential,Wednesday,21-May,38.631481,-121.50188
170 PENHOW CIR,SACRAMENTO,95834,3,2,1511,208000,137.66,6,5,Residential,Wednesday,21-May,38.653439,-121.535169
8345 STAR THISTLE WAY,SACRAMENTO,95823,4,2,1590,212864,133.88,19,5,Residential,Wednesday,21-May,38.454349,-121.439239
9080 FRESCA WAY,ELK GROVE,95758,4,2,1596,221000,138.47,9,8,Residential,Wednesday,21-May,38.427818,-121.424026
391 NATALINO CIR,SACRAMENTO,95835,2,2,1341,221000,164.8,12,9,Residential,Wednesday,21-May,38.67307,-121.506373
8373 BLACKMAN WAY,ELK GROVE,95624,5,3,2136,223058,104.43,8,9,Residential,Wednesday,21-May,38.435436,-121.394536
9837 CORTE DORADO CT,ELK GROVE,95624,4,2,1616,227887,141.02,7,7,Residential,Wednesday,21-May,38.400676,-121.38101
5037 J PKWY,SACRAMENTO,95823,3,2,1478,231477,156.62,7,9,Residential,Wednesday,21-May,38.491399,-121.443547
10245 LOS PALOS DR,RANCHO CORDOVA,95670,3,2,1287,234697,182.36,20,2,Residential,Wednesday,21-May,38.593699,-121.31089
6613 NAVION DR,CITRUS HEIGHTS,95621,4,2,1277,235000,184.03,23,3,Residential,Wednesday,21-May,38.702855,-121.31308
2887 AZEVEDO DR,SACRAMENTO,95833,4,2,1448,236000,162.98,23,8,Residential,Wednesday,21-May,38.618457,-121.509439
9186 KINBRACE CT,SACRAMENTO,95829,4,3,2235,236685,105.9,16,8,Residential,Wednesday,21-May,38.463355,-121.358936
4243 MIDDLEBURY WAY,MATHER,95655,3,2,2093,237800,113.62,17,3,Residential,Wednesday,21-May,38.547991,-121.280483
1028 FALLON PLACE CT,RIO LINDA,95673,3,2,1193,240122,201.28,18,5,Residential,Wednesday,21-May,38.693818,-121.441153
4804 NORIKER DR,ELK GROVE,95757,3,2,2163,242638,112.18,9,2,Residential,Wednesday,21-May,38.400974,-121.448424
7713 HARVEST WOODS DR,SACRAMENTO,95828,3,2,1269,244000,192.28,9,3,Residential,Wednesday,21-May,38.478198,-121.412911
2866 KARITSA AVE,SACRAMENTO,95833,3,2,1149,244500,212.79,8,8,Residential,Wednesday,21-May,38.626671,-121.52597
6913 RICHEVE WAY,SACRAMENTO,95828,3,1,958,244960,255.7,19,7,Residential,Wednesday,21-May,38.502519,-121.420769
8636 TEGEA WAY,ELK GROVE,95624,5,3,2508,245918,98.05,22,5,Residential,Wednesday,21-May,38.443832,-121.382087
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,3,2,1305,250000,191.57,16,7,Residential,Wednesday,21-May,38.665395,-121.293288
18 OLLIE CT,ELK GROVE,95758,4,2,1591,250000,157.13,10,2,Residential,Wednesday,21-May,38.444909,-121.412345
4010 ALEX LN,CARMICHAEL,95608,2,2,1326,250134,188.64,21,8,Condo,Wednesday,21-May,38.637028,-121.312963
4901 MILLNER WAY,ELK GROVE,95757,3,2,1843,254200,137.93,18,5,Residential,Wednesday,21-May,38.38692,-121.447349
4818 BRITTNEY LEE CT,SACRAMENTO,95841,4,2,1921,254200,132.33,22,8,Residential,Wednesday,21-May,38.653917,-121.34218
5529 LAGUNA PARK DR,ELK GROVE,95758,5,3,2790,258000,92.47,8,7,Residential,Wednesday,21-May,38.42568,-121.438062
230 CANDELA CIR,SACRAMENTO,95835,3,2,1541,260000,168.72,24,5,Residential,Wednesday,21-May,38.656251,-121.547572
4900 71ST ST,SACRAMENTO,95820,3,1,1018,260014,255.42,5,4,Residential,Wednesday,21-May,38.53151,-121.421089
12209 CONSERVANCY WAY,RANCHO CORDOVA,95742,4,2,1095,263500,240.64,11,7,Residential,Wednesday,21-May,38.553867,-121.219141
4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,3,2,1672,265000,158.49,5,5,Condo,Wednesday,21-May,38.648879,-121.544023
5615 LUPIN LN,POLLOCK PINES,95726,3,2,1380,265000,192.03,22,9,Residential,Wednesday,21-May,38.708315,-120.603872
5625 JAMES WAY,SACRAMENTO,95822,3,1,975,271742,278.71,14,3,Residential,Wednesday,21-May,38.523947,-121.484946
7842 LAHONTAN CT,SACRAMENTO,95829,4,3,2372,273750,115.41,10,2,Residential,Wednesday,21-May,38.472976,-121.318633
6850 21ST ST,SACRAMENTO,95822,3,2,1446,275086,190.24,23,6,Residential,Wednesday,21-May,38.502194,-121.490795
2900 BLAIR RD,POLLOCK PINES,95726,2,2,1284,280908,218.78,10,5,Residential,Wednesday,21-May,38.75485,-120.60476
2064 EXPEDITION WAY,SACRAMENTO,95832,4,3,3009,280987,93.38,21,2,Residential,Wednesday,21-May,38.474099,-121.490711
2912 NORCADE CIR,SACRAMENTO,95826,8,4,3612,282400,78.18,25,2,Multi-Family,Wednesday,21-May,38.559505,-121.364839
9507 SEA CLIFF WAY,ELK GROVE,95758,4,2,2056,285000,138.62,7,9,Residential,Wednesday,21-May,38.410992,-121.479043
8882 AUTUMN GOLD CT,ELK GROVE,95624,4,2,1993,287417,144.21,9,9,Residential,Wednesday,21-May,38.4439,-121.37255
5322 WHITE LOTUS WAY,ELK GROVE,95757,3,2,1857,291000,156.7,18,4,Residential,Wednesday,21-May,38.391538,-121.442596
1838 CASTRO WAY,SACRAMENTO,95818,2,1,1126,292024,259.35,22,3,Residential,Wednesday,21-May,38.556098,-121.490787
10158 CRAWFORD WAY,SACRAMENTO,95827,4,4,2213,297000,134.21,13,9,Multi-Family,Wednesday,21-May,38.5703,-121.315735
7731 MASTERS ST,ELK GROVE,95758,5,3,2494,297000,119.09,11,7,Residential,Wednesday,21-May,38.442031,-121.410873
4925 PERCHERON DR,ELK GROVE,95757,3,2,1843,298000,161.69,10,3,Residential,Wednesday,21-May,38.40154,-121.447649
2010 PROMONTORY POINT LN,GOLD RIVER,95670,2,2,1520,299000,196.71,16,5,Residential,Wednesday,21-May,38.62869,-121.261669
4727 SAVOIE WAY,SACRAMENTO,95835,5,3,2800,304037,108.58,18,3,Residential,Wednesday,21-May,38.658182,-121.549521
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,4,2,2309,311000,134.69,14,3,Residential,Wednesday,21-May,38.442352,-121.389675
9570 HARVEST ROSE WAY,SACRAMENTO,95827,5,3,2367,315537,133.31,13,3,Residential,Wednesday,21-May,38.555993,-121.340352
4359 CREGAN CT,RANCHO CORDOVA,95742,5,4,3516,320000,91.01,9,7,Residential,Wednesday,21-May,38.545128,-121.224922
5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,6,4,3350,320000,95.52,12,2,Residential,Wednesday,21-May,38.528575,-121.2286
8929 SUTTERS GOLD DR,SACRAMENTO,95826,4,3,1914,328360,171.56,14,3,Residential,Wednesday,21-May,38.550848,-121.370224
8025 PEERLESS AVE,ORANGEVALE,95662,2,1,1690,334150,197.72,16,4,Residential,Wednesday,21-May,38.71147,-121.216214
4620 WELERA WAY,ELK GROVE,95757,3,3,2725,335750,123.21,19,4,Residential,Wednesday,21-May,38.398609,-121.450148
9723 TERRAPIN CT,ELK GROVE,95757,4,3,2354,335750,142.63,19,6,Residential,Wednesday,21-May,38.403492,-121.430224
2115 SMOKESTACK WAY,SACRAMENTO,95833,5,3,2350,339500,144.47,13,8,Residential,Wednesday,21-May,38.602416,-121.542965
100 REBECCA WAY,FOLSOM,95630,3,2,2185,344250,157.55,6,6,Residential,Wednesday,21-May,38.68479,-121.149199
9488 OAK VILLAGE WAY,ELK GROVE,95758,4,2,1801,346210,192.23,18,6,Residential,Wednesday,21-May,38.41333,-121.404999
8495 DARTFORD DR,SACRAMENTO,95823,3,3,1961,347029,176.97,7,4,Residential,Wednesday,21-May,38.448507,-121.421346
6708 PONTA DO SOL WAY,ELK GROVE,95757,4,2,3134,347650,110.93,15,4,Residential,Wednesday,21-May,38.380635,-121.425538
4143 SEA MEADOW WAY,SACRAMENTO,95823,4,3,1915,351300,183.45,7,7,Residential,Wednesday,21-May,38.46534,-121.457519
3020 RICHARDSON CIR,EL DORADO HILLS,95762,3,2,1859,352000,189.35,7,6,Residential,Wednesday,21-May,38.691299,-121.081752
8082 LINDA ISLE LN,SACRAMENTO,95831,5,3,1950,370000,189.74,17,6,Residential,Wednesday,21-May,38.4772,-121.5215
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,4,3,2734,370500,135.52,14,9,Residential,Wednesday,21-May,38.4874,-121.075129
11215 SHARRMONT CT,WILTON,95693,3,2,2110,372000,176.3,5,4,Residential,Wednesday,21-May,38.35062,-121.228349
7105 DANBERG WAY,ELK GROVE,95757,5,3,3164,375000,118.52,16,9,Residential,Wednesday,21-May,38.4019,-121.420388
5579 JERRY LITELL WAY,SACRAMENTO,95835,5,3,3599,381300,105.95,16,5,Residential,Wednesday,21-May,38.677126,-121.500519
1050 FOXHALL WAY,SACRAMENTO,95831,4,2,2054,381942,185.95,20,4,Residential,Wednesday,21-May,38.509819,-121.519661
7837 ABBINGTON WAY,ANTELOPE,95843,4,2,1830,387731,211.87,19,2,Residential,Wednesday,21-May,38.709873,-121.339472
1300 F ST,SACRAMENTO,95814,3,3,1627,391000,240.32,11,7,Residential,Wednesday,21-May,38.58355,-121.487289
6801 RAWLEY WAY,ELK GROVE,95757,4,3,3440,394470,114.67,7,7,Residential,Wednesday,21-May,38.408351,-121.423925
1693 SHELTER COVE DR,GREENWOOD,95635,3,2,2846,395000,138.79,25,9,Residential,Wednesday,21-May,38.945357,-120.908822
9361 WADDELL LN,ELK GROVE,95624,4,3,2359,400186,169.64,5,7,Residential,Wednesday,21-May,38.450829,-121.349928
10 SEA FOAM CT,SACRAMENTO,95831,3,3,2052,415000,202.24,24,3,Residential,Wednesday,21-May,38.487885,-121.545947
6945 RIO TEJO WAY,ELK GROVE,95757,5,3,3433,425000,123.8,19,7,Residential,Wednesday,21-May,38.385638,-121.422616
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,5,3,3615,430000,118.95,21,6,Residential,Wednesday,21-May,38.550617,-121.23526
9278 DAIRY CT,ELK GROVE,95624,5,4,3550,445000,125.35,13,5,Residential,Wednesday,21-May,38.420338,-121.363757
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,5,3,2687,460000,171.19,8,9,Residential,Wednesday,21-May,38.646273,-121.175322
6507 RIO DE ONAR WAY,ELK GROVE,95757,4,3,2724,461000,169.24,10,8,Residential,Wednesday,21-May,38.38253,-121.428007
7004 RAWLEY WAY,ELK GROVE,95757,4,3,3440,489332,142.25,19,7,Residential,Wednesday,21-May,38.406421,-121.422081
6503 RIO DE ONAR WAY,ELK GROVE,95757,5,4,3508,510000,145.38,18,8,Residential,Wednesday,21-May,38.38253,-121.428038
2217 APPALOOSA CT,FOLSOM,95630,4,2,2462,539000,218.93,24,9,Residential,Wednesday,21-May,38.655167,-121.090178
868 HILDEBRAND CIR,FOLSOM,95630,6,4,2850,585000,205.26,16,9,Residential,Wednesday,21-May,38.670947,-121.097727
6030 PALERMO WAY,EL DORADO HILLS,95762,4,3,2946,600000,203.67,13,8,Residential,Wednesday,21-May,38.672761,-121.050378
4070 REDONDO DR,EL DORADO HILLS,95762,4,3,3050,606238,198.77,8,6,Residential,Wednesday,21-May,38.666807,-121.06483
4004 CRESTA WAY,SACRAMENTO,95864,3,3,2325,660000,283.87,25,2,Residential,Wednesday,21-May,38.591618,-121.370626
315 JUMEL CT,EL DORADO HILLS,95762,6,5,3949,830000,210.18,7,5,Residential,Wednesday,21-May,38.669931,-121.05958
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,2,1,795,69000,86.79,12,8,Condo,Tuesday,20-May,38.680923,-121.313945
3432 Y ST,SACRAMENTO,95817,4,2,1099,70000,63.69,23,5,Residential,Tuesday,20-May,38.554967,-121.468046
9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,2,1,840,71000,84.52,10,3,Condo,Tuesday,20-May,38.40573,-121.369832
3132 CLAY ST,SACRAMENTO,95815,2,1,800,78000,97.5,8,2,Residential,Tuesday,20-May,38.624678,-121.439203
